slug,relevant_government
controversy-over-planned-paraxylene-px-plant-expansion-in-jiujiang-jiangxi-china,"The Jiujiang municipal government, the Jiujiang Environmental Protection Bureau, the Xunyang district, the Lushan district Management Bureau"
petrochemical-industrial-park-in-hoima,"Government of Uganda
Civil Aviation Authority - Uganda
National Physical Planning Board
Uganda People’s Defense Forces (UPDF)"
niyamgiri-vedanta-bauxite-mining-india,"Orissa Mining Corporation, Ministry of Environmental Affairs , Orissa Government, Forest Department"
proyecto-los-pircos-minera-troy-sac-cajamarca,"Dirección Regional de Energía y Minas (DREM), Dirección
Regional de Cultura, Ministerio de Energía y Minas (MINEM)"
matses-indigenous-resistance-to-oil-exploration-in-amazon-peru-brazil,"Brazilian Ministry of Foreign Affairs;
Peruvian Government"
lakshadweep-residents-complain-india,
pondoland-wild-coast-xolobeni-mining-threat-south-africa,"Department of Mineral Resources, Department of Water, Department of Environmental Affairs, Department of Land Affairs, Department of Transport"
nautical-tourism-in-the-lastovo-islands-nature-park-croatia,"Croatian Ministry of Culture. 
Croatian Ministry of Defence.
National Government and development policies"
caramanta-antioquia-colombia,"Instituto Colombiano de Mineria y Geologia , Ministerio de Ambiente y Desarrollo Sostenible, Gobernacion de Antioquia, Alcaldia del Municipio de Caramanta, Policia Nacional, Corporacion Autonoma Regional del Centro de Antioquia "
incendio-en-sian-kaan,CONAFOR (Comisión Nacional Forestal)
king-king-copper-and-gold-mine-in-compostela-mindanao-philippines,"Government of Philippines
Army of Philippines"
cancer-village-qiugang-develops-in-anhui-china,"Qiugang village officials, Bengbu city officials, Beijing environmental authorities"
karayan-dam-in-chico-river-lucog-kalinga,"National Commission on Indigenous Peoples (NCIP)
Government of the Philippines"
justice-for-affctees-of-dadhu-cha-dam,
videocon-sez-wagholi-mh-india,"Government of Maharashtra, Government of India "
ratnagiri-oil-refinery-nanar-maharashtra,"Dharmendra Pradhan, Petroleum minister 
Expert committee set up for settlement of land acquisition issues:
DM Sukhtankar, former chief secretary of Maharashtra and former urban development secretary with the central government
Dr Vijay Kelkar, chairman of National Institute of Public Finance and Policy and former secretary in the ministries of finance and petroleum
Abhay Pethe, academician and economist 
JB Joshi, former-director of Mumbai-based Institute of Chemical Technology 
S.B. Kadrekar, former vice-chancellor of Konkan Krishi Vidyapeeth."
lignite-mining-in-lampang-thailand,"Lampang City Hall, Ministry of Industry, the Department for Public Works and Town and Country Planning, the Chiang Mai Administrative Court"
gold-mining-and-mercury-pollution-suriname,- Gold Sector Regulation Commission (OGS)
asbestos,"MEC (Ministry of Education and Science), Instituto Nacional de Saúde Dr. Ricardo Jorge (Dr. Ricardo Jorge National Health Institute)"
europa-city,"Nicolas Hulot, ministre de la Transition Écologique
Major of Gonesse"
koidu-diamond-mining-conflict-sierra-leone,"Ministry of Mines and Mineral Resources, Sierra Leones Gold and Diamond Office"
urbanistic-plan-in-valdevaqueros-tarifa-spain,"Tarifa Town Council, Andalucia Regional Government, Spanish Ministry of Environment"
enfrentamientos-por-el-control-de-la-extraccion-de-algas-marinas,Dirección General de Pesca del Perú (PRODUCE). Instituto del Mar del Perú (IMARPE).
the-waste-dump-in-montchanin-france,
illegal-gold-mining-and-poaching-in-vale-do-javari-indigenous-territory-amazonas-brazil,"FUNAI & Coordenação Geral de Índios Isolados e Recém-Contatados of Vale do Javari & Frente de Proteção Etnoambiental do Vale do Javari
IBAMA & Federal Police
Federal Public Ministry (MPF)
Agência Nacional de Petróleo, Gás e Biocombustíveis (ANP)
Secretaria Especial de Saúde Indígena (Sesai)"
aila-affected-people-need-protection-bangladesh,"Ministries of Water Resources; Food and Disaster Management; Local Government, Rural Development & Co- Operatives; Agriculture; Health and Family Welfare; Environment and Forest; Director Generals, BWDB; Disaster Management Bureau; Deputy Commissioners, Khulna, Satkhira; Executive Engineer, Divisions-1 and 2, BWDB; Upazilla Nirbahi Officers, Dacop, Koira, Shyamnagar, Asasuni Upazillas of Satkhira Districts."
franken-shipwreck-from-wwii-threatens-baltic-sea-near-gdansk,"- Instytut Morski w Gdańsku (Maritime Institute in Gdansk)
- Polish Ministry of Maritime Economy and Inland Navigation"
coal-mining-in-dehing-patkai-assam,"National Board of Wild Life (NBWL), Union Ministry of Environment, Forest and Climate Change, 
Assam state government,"
kanha-tiger-reserve,"Madya Pradesh Forest Department 
National Tiger Conservation Authority (NTCA)"
african-minerals-limiteds-tonkolili-iron-ore-mine-in-bumbuna-sierra-leone,
coal-mining-leading-to-the-killing-of-gloria-capitan,Provincial government of Bataan
yasuoka-offshore-wind-power-generation-japan,METI Japan
dublin-airport-2nd-runway,"Fingal Country Council
An Bord Pleanála
Department of Transport"
pantanos-de-villa,"Municipalidad Provincial de Lima Metropolitana
Municipalidad de Chorrillos
- INRENA 
- CONAM, Consejo Nacional del Ambiente
- Gobierno de la República de Perú"
wind-power-plants-in-occupied-territories-of-western-sahara,
lliquimuni,Gobierno de Bolivia
waste-incineration-fuelled-cement-plant-in-toral-de-los-vados-leon-spain,"Junta de Castilla y Leon, Consejeria de Medio Ambiente
Tribunal Superior de Justicia de Castilla y Leon"
haw-river-and-jordan-lake-water-contamination,"•	NC Department of Environmental Quality - https://deq.nc.gov/
•	Environmental Protection Agency (EPA) - epa.gov"
tiradero-al-cielo-abierto-san-jose-huilango,Gobierno del Estado de México y gobierno del Municipio de Cuautitlán Izcallí.
vulnerabilidad-hidrologica-por-cambios-del-uso-del-suelo-en-pena-colorada,"Exalcalde Francisco Domínguez Servién 
Comisión Estatal de Aguas (CEA)
Exgobernador José Eduardo Calzada Rovirosa (Gobernador de Querétaro 2009-2015)
Genaro Montes Díaz (Ex Director de Desarrollo Sostenible del Municipio de Querétaro)
PROFEPA
Mauricio Kuri González (Actual Gobernador de Querétaro)
SEMARNAT"
bhakra-nangal-project-india,"Government of India, Government of Himachal Pradesh"
detroits-waste-incinerator-usa,Michigan Dept of Environmental Quality; City of Detroit
proyecto-inmobiliario-city-park-y-el-humedal-del-parque-los-carcamos-en-leon-guanajuato,"Gobierno Federal:
- Secretaría de Medio Ambiente y Recursos Naturales (SEMARNAT)
- Comisión Nacional del Agua (CONAGUA)
- Procuraduría Federal de Protección al Ambiente (PROFEPA)

Gobierno del Estado de Guanajuato
- Secretaría de Medio Ambiente y Ordenamiento Territorial del Estado de Guanajuato
- Procuraduría Ambiental y de Ordenamiento Territorial de Guanajuato – PAOT

Gobierno Municipal de León
- Dirección General de Gestión Ambiental del Municipio de León"
nam-ma-coal-mining-and-extrajudicial-killings-shan-state-myanmar,"Ministry of Mining
Burma Army"
lithium-project-in-jadar-and-radjevina,"Vlada Republike Srbije (Government of Serbia), Ministarstvo rudarstva i energetike (Ministry of Mining and Energy), Ministarstvo građevinarstva, saobraćaja i infrastrukture (Ministry of Construction, Transport and Infrastructure), Republički geodetski zavod (Republic Geodetic Authority), Institut za arhitekturu i urbanizam Srbije (Institute of Architecture and Urban & Spatial Planning of Serbia),  Institut za vodoprivredu ""Jaroslav Černi"" (Institute for Water Resources “Jaroslav Cherni""), Mašinski fakultet Univerziteta u Beogradu (Faculty of Mechanical Engineering, University of Belgrade)"
battery-metals-from-nornickel-ar,
highway-part-of-scan-link-ljungskile-sweden,Vägverket
enbridge-pipelines-inc-line-9b-reversal-and-line-9-capacity-expansion-project,"Federal Conservative Government of Canada
Liberal Party of Ontario
National Energy Board (NEB)
Government of Ontario
Government of Quebec
Canadian Environmental Assessment Agency (CEAA)\
Ontario Association of Municipalities
Quebec Association of Municipalities"
bhogapuram-airport,"Andhra Pradesh State Government 
Airports Authority of India (AAI)
Civil Aviation Ministry
Ministry of Environment, Forest and Climate Change
Government of India"
janakalyan-community-forest-user-group,"District Forest Office,  local forest office and municipality"
yuvarlakcay-water-movement-turkey,DSI- General Directorate of State Hydraulic Works.
stuttgart-21-project-germany,"Federal Government, Baden-Württemberg Government, Stuttgart city Council"
dongling-lead-and-zinc-smelting-co-fengxiang-shaanxi-china,"-Environmental Protection Bureau of Baoji Municipal
-Environmental Protection Bureau of Fengxiang County
-the Government of Fengxiang County
-the Government of Baoji Municipal 
-the Administration Committee of Changqing Industrial Park
-Xi'an Institute of Geology and Mineral Resources (later as the Xi'an Branch of China Geological Survey)
-Health Department of Shaanxi Province (changed to the Health Commission of Shaanxi Province)
-Shaanxi Environmental Protection Department (as the Department of Ecology and Environment of Shaanxi Province since March 2018) 
- Environmental Monitoring Station of Baoji"
construction-of-a-waste-treatment-centre-specialising-in-recycling-and-decontaminating-extremely-and-highly-dangerous-waste-is-being-built-on-the-territory-of-maradikovskiy-an-ex-chemical-weapon-destruction-facility,"Kirov Oblast Government 
Ministry of Environmental Protection Kirov Oblast
Russian Ecological Operator 
The Federal Service for Supervision of Natural Resources"
nsukala-sugar-plantation-and-refinery-in-cercle-de-segou-mali,"Malian government, Office du Niger "
marmato-mines-colombia,"Ministerio de Ambiente y Desarrollo Sostenible, Ministerio de Minas y Energia, Instituto Colombiano de Geologia y Minería , Gobernacion de Caldas, Alcaldía de Marmato, Concejo Municipal de Marmato, Corporación Autónoma Regional de Caldas "
oil-spill-of-exxonmobil-in-ibeno-community-nigeria,
cruise-ships-in-venetian-lagoon,"Comitatone, set up by the Special Law no. 798/84 (New interventions for the safeguarding of Venice and its Lagoon) is composed of the Prime Minister who presides, Minister of Transport and Infrastructure, Minister of Culture, Minister of Environment, Minister of Education, Veneto Region, the Mayors of Venice, Chioggia, Mira, Cavallino and Jesolo, Province of Venice and Venice Port Authority."
panyu-waste-incineration-project-guanzhou-china,"Panyu District Government, Guangzhou City Government
Urban Landscape Planning Bureau"
uranium-mining-in-the-southwest-navajo-nation-usa,"United States Congress, United States Environmental Protection Agency, State governments (Arizona, New Mexico, Utah, Colorado),  Water Quality Control Commission (WQCC)"
sport-and-recreation-center-svetice-croatia,The City of Zagreb
contaminacion-de-industria-porcicola-pronaca-en-tsachilas,"Ministerio de Medio Ambiente, Minsiterio de Salud, Ministerio de  Agricultura, Secretaría Nacional del Agua, Gobierno Provincial, Municipio de Santo Domingo, Defensoría del Pueblo"
isla-riesco-coal-extraction-chile,"Servicio de Evaluacion Ambiental de Magallanes, Servicio de Evaluacion Ambienta de Chile"
el-largo-comienzo-de-la-energia-eolica-en-yucatan-el-parque-eolico-dzilam-bravo-el-primero-entre-la-incertidumbre-y-la-injusticia,"Secretaria de Medio Ambiente y Recursos Naturales (SEMARNAT)
Secretaría de Energía (SENER)
Comisión Reguladora de Energía (CRE)
Gobierno del estado de Yucatán
Secretaria de Desarrollo Sustentable del gobierno del Estado de Yucatán (SdS)"
nuclear-storage-facilities-in-gorleben-germany,"Minister-President of Lower Saxony (at that time, Ernst Albrecht of the CDU), Since 1986 the Federal Ministry for the Environment, Nature Conservation and Nuclear Safety is in charge for Nuclear Disposal., German Federal Office for Radiation Protection."
illegal-road-construction-inside-sinharaja-whs-sri-lanka,"Forest department, Ministry of Environment"
turtle conservation against sand mining-kerala-india,Kerala Forest Department
protesters-in-quezon-city-philippines-resist-planned-incinerators-despite-national-ban,Quezon City government
hassi-messaoud-oil-field,"Entreprise nationale des services aux puits (ENSP)
Centre de Développement des Energies Renouvelabes"
stocamine-waste,"Bureaucratic associations, for example:
-	European Community of Alsace (CeA) [19]
-	The Bureau de Recherches Géologiques et Minières (BRGM), the French national geological service [4]
Nationally, regionally and locally-elected representatives, for example:
-	Barbara Pompili, Minister for Ecological Transition [4]
-	Frédéric Bierry, President of the European Community of Alsace [18]"
karahnjukar-iceland,Government of Iceland
formally-used-defense-sites-in-alaska,"United States Department of Defense
DoD Environment, Safety and Occupational Health Network and Information Exchange (DENIX)
United States Army Corps of Engineers
US Environmental Protection Agency
Agency for Toxic Substances and Disease Registry (ATSDR)
Native American Lands Environmental Mitigation Program
Bureau of Indian Affairs
Alaskan Federation of Natives"
gold-mining-in-orton-ilynka-uchas-and-trekhrechye-mezhdurechensky-russian-federation,Subsoil Use Department for Siberia
